@RELATION pacman-data-training

	@ATTRIBUTE pacman_positionX NUMERIC
	@ATTRIBUTE pacman_positionY NUMERIC
	@ATTRIBUTE legal_north {0,1}
	@ATTRIBUTE legal_south {0,1}
	@ATTRIBUTE legal_east {0,1}
	@ATTRIBUTE legal_west {0,1}
	@ATTRIBUTE living_ghost1 {0,1}
	@ATTRIBUTE living_ghost2 {0,1}
	@ATTRIBUTE living_ghost3 {0,1}
	@ATTRIBUTE living_ghost4 {0,1}
	@ATTRIBUTE ghost1_positionX NUMERIC
	@ATTRIBUTE ghost1_positionY NUMERIC
	@ATTRIBUTE ghost2_positionX NUMERIC
	@ATTRIBUTE ghost2_positionY NUMERIC
	@ATTRIBUTE ghost3_positionX NUMERIC
	@ATTRIBUTE ghost3_positionY NUMERIC
	@ATTRIBUTE ghost4_positionX NUMERIC
	@ATTRIBUTE ghost4_positionY NUMERIC
	@ATTRIBUTE ghost1_distance NUMERIC
	@ATTRIBUTE ghost2_distance NUMERIC
	@ATTRIBUTE ghost3_distance NUMERIC
	@ATTRIBUTE ghost4_distance NUMERIC
	@ATTRIBUTE food_distance NUMERIC
	@ATTRIBUTE food_position_x NUMERIC
	@ATTRIBUTE food_position_y NUMERIC
	@ATTRIBUTE closest_food_dirx {West,East,North,South,Stop}
	@ATTRIBUTE closest_food_diry {West,East,North,South,Stop}
	@ATTRIBUTE score NUMERIC
	@ATTRIBUTE score_siguiente NUMERIC
	@ATTRIBUTE closest_ghost_x NUMERIC
	@ATTRIBUTE closest_ghost_y NUMERIC
	@ATTRIBUTE closest_ghost_distance NUMERIC
	@ATTRIBUTE closest_ghost_dirx {West,East,North,South,Stop}
	@ATTRIBUTE closest_ghost_diry {West,East,North,South,Stop}
	@ATTRIBUTE next_move {West,East,North,South,Stop}

@DATA
8,11,1,1,1,0,0,0,1,1,1,1,3,1,15,8,23,10,0,0,10,15,0,0,0,West,South,361,360,1,1,0,West,South,East
9,11,1,1,1,1,0,0,1,1,1,1,3,1,14,8,23,11,0,0,8,14,0,0,0,West,South,360,359,1,1,0,West,South,East
10,11,1,1,1,1,0,0,1,1,1,1,3,1,14,7,23,11,0,0,8,14,0,0,0,West,South,359,358,1,1,0,West,South,North
10,12,1,1,1,1,0,0,1,1,1,1,3,1,14,7,23,10,0,0,9,14,0,0,0,West,South,358,357,1,1,0,West,South,North
10,13,1,1,0,1,0,0,1,1,1,1,3,1,14,6,23,11,0,0,11,16,0,0,0,West,South,357,356,1,1,0,West,South,North
10,14,1,1,0,1,0,0,1,1,1,1,3,1,15,6,24,11,0,0,13,17,0,0,0,West,South,356,355,1,1,0,West,South,South
10,13,1,1,0,1,0,0,1,1,1,1,3,1,14,6,24,11,0,0,11,17,0,0,0,West,South,355,354,1,1,0,West,South,South
10,12,1,1,1,1,0,0,1,1,1,1,3,1,14,7,24,10,0,0,9,15,0,0,0,West,South,354,353,1,1,0,West,South,East
11,12,0,1,1,1,0,0,1,1,1,1,3,1,14,6,24,11,0,0,9,15,0,0,0,West,South,353,352,1,1,0,West,South,East
12,12,0,0,1,1,0,0,1,1,1,1,3,1,14,7,24,10,0,0,7,13,0,0,0,West,South,352,351,1,1,0,West,South,East
13,12,0,1,1,1,0,0,1,1,1,1,3,1,14,6,24,11,0,0,7,13,0,0,0,West,South,351,350,1,1,0,West,South,South
13,11,1,1,1,0,0,0,1,1,1,1,3,1,15,6,24,10,0,0,7,11,0,0,0,West,South,350,349,1,1,0,West,South,South
13,10,1,1,1,0,0,0,1,1,1,1,3,1,14,6,24,11,0,0,5,13,0,0,0,West,South,349,348,1,1,0,West,South,South
13,9,1,1,1,0,0,0,1,1,1,1,3,1,13,6,25,11,0,0,3,14,0,0,0,West,South,348,347,1,1,0,West,South,South
13,8,1,1,1,0,0,0,1,1,1,1,3,1,13,7,25,11,0,0,1,16,0,0,0,West,South,347,546,1,1,0,West,South,South
13,7,1,1,1,0,0,0,0,1,1,1,3,1,5,1,26,11,0,0,0,18,0,0,0,West,South,546,545,1,1,0,West,South,South
13,6,1,1,1,0,0,0,0,1,1,1,3,1,5,1,27,11,0,0,0,18,0,0,0,West,South,545,544,1,1,0,West,South,South
13,5,1,1,1,0,0,0,0,1,1,1,3,1,5,1,27,10,0,0,0,18,0,0,0,West,South,544,543,1,1,0,West,South,East
14,5,1,1,0,1,0,0,0,1,1,1,3,1,5,1,26,11,0,0,0,19,0,0,0,West,South,542,541,1,1,0,West,South,North
14,6,1,1,1,1,0,0,0,1,1,1,3,1,5,1,27,11,0,0,0,18,0,0,0,West,South,541,540,1,1,0,West,South,East
15,6,0,0,1,1,0,0,0,1,1,1,3,1,5,1,27,11,0,0,0,16,0,0,0,West,South,540,539,1,1,0,West,South,East
16,6,0,0,1,1,0,0,0,1,1,1,3,1,5,1,27,10,0,0,0,16,0,0,0,West,South,539,538,1,1,0,West,South,East
