@relation 'pacman-data-training-weka.filters.unsupervised.attribute.MathExpression-Eifelse(A>0, ifelse(A>2, ifelse(A>5, ifelse(A>8, ifelse(A>12, ifelse(A>15, ifelse(A>18, 7, 6), 5), 4), 3), 2), 1), 0)-V-R1-2,11-18,24-25-weka.filters.unsupervised.attribute.MathExpression-Eifelse(A>0, ifelse(A>5, ifelse(A>10, ifelse(A>15, ifelse(A>20, ifelse(A>25, ifelse(A>30, 7, 6), 5), 4), 3), 2), 1), 0)-V-R19-23,32-weka.filters.unsupervised.attribute.NumericToNominal-R1-2,11-25,32-weka.filters.unsupervised.attribute.Remove-R7-10,26-27,30-34'

@attribute pacman_positionX {0,1,2,3,4,5,6,7}
@attribute pacman_positionY {0,1,2,3,4,5,6,7}
@attribute legal_north {0,1}
@attribute legal_south {0,1}
@attribute legal_east {0,1}
@attribute legal_west {0,1}
@attribute ghost1_positionX {0,1,2,3,4,5,6,7}
@attribute ghost1_positionY {0,1,2,3,4,5,6,7}
@attribute ghost2_positionX {0,1,2,3,4,5,6,7}
@attribute ghost2_positionY {0,1,2,3,4,5,6,7}
@attribute ghost3_positionX {0,1,2,3,4,5,6,7}
@attribute ghost3_positionY {0,1,2,3,4,5,6,7}
@attribute ghost4_positionX {0,1,2,3,4,5,6,7}
@attribute ghost4_positionY {0,1,2,3,4,5,6,7}
@attribute ghost1_distance {0,1,2,3,4,5,6,7}
@attribute ghost2_distance {0,1,2,3,4,5,6,7}
@attribute ghost3_distance {0,1,2,3,4,5,6,7}
@attribute ghost4_distance {0,1,2,3,4,5,6,7}
@attribute food_distance {0,1,2,3,4,5,6,7}
@attribute food_position_x {0,1,2,3,4,5,6,7}
@attribute food_position_y {0,1,2,3,4,5,6,7}
@attribute score numeric
@attribute score_siguiente numeric
@attribute next_move {West,East,North,South,Stop}

@data
4,4,0,0,1,1,2,2,3,3,2,1,5,2,3,1,0,3,2,4,3,191,190,East
4,4,0,1,1,1,2,2,3,4,2,1,5,2,3,1,0,3,1,4,3,190,189,East
4,4,0,1,1,1,2,2,4,4,2,1,5,2,3,1,0,2,1,5,4,189,188,East
4,4,0,0,1,1,2,2,4,3,2,1,5,2,4,2,0,2,1,5,4,188,187,East
5,4,0,0,1,1,2,2,4,3,2,1,5,2,4,2,0,2,1,5,4,187,186,East
5,4,0,1,1,1,2,2,3,3,2,1,5,2,4,2,0,1,2,4,3,186,285,South
5,4,1,1,0,0,2,2,3,3,2,1,5,3,4,2,0,1,2,4,3,285,284,South
5,4,1,1,1,1,2,2,3,3,2,1,5,3,4,2,0,1,2,4,3,284,283,South
5,3,1,1,1,1,2,2,3,4,2,1,5,3,4,2,0,1,2,4,3,283,282,South
5,3,1,1,1,1,2,2,3,4,2,1,5,2,3,2,0,1,1,4,3,282,281,South
5,3,1,1,0,0,2,2,3,4,2,1,5,2,3,2,0,1,1,4,3,281,280,South
5,2,1,1,1,1,2,2,4,4,2,1,5,2,3,2,0,1,1,4,3,280,279,North
5,3,1,1,0,0,2,2,4,4,2,1,5,2,3,2,0,1,1,4,3,279,278,North
5,3,1,1,1,1,1,2,4,4,2,1,5,2,3,2,0,1,1,4,3,278,277,South
5,3,1,1,0,0,1,2,4,4,2,1,5,2,3,2,0,1,1,4,3,277,276,South
5,2,1,1,1,1,1,2,4,3,2,1,5,2,3,2,0,1,1,4,3,276,275,South
5,2,1,1,1,1,1,2,4,3,2,1,5,2,3,2,0,1,2,4,3,275,274,South
5,2,1,0,1,1,1,2,4,3,2,1,5,2,3,2,0,1,2,4,3,274,273,West
5,2,1,0,1,0,1,2,4,3,2,1,5,2,3,2,0,1,2,4,3,273,272,North
5,2,1,1,1,0,2,2,4,3,2,1,5,2,3,2,0,1,1,4,3,272,271,North
5,2,0,1,1,1,2,2,4,3,2,1,5,2,2,2,0,1,1,4,3,271,270,East
5,2,1,1,1,1,2,2,3,3,2,1,6,2,2,2,0,1,1,4,3,270,269,East
5,2,0,1,1,1,2,2,4,3,2,1,6,2,2,2,0,1,2,4,3,269,268,East
6,2,0,1,1,1,3,2,4,3,2,1,6,2,2,2,0,1,2,4,3,268,467,South
6,2,1,1,1,1,2,2,4,2,2,1,3,1,3,2,0,0,2,4,3,467,466,East
6,2,1,1,1,1,2,2,4,2,2,1,3,1,3,2,0,0,2,4,3,466,465,West
6,2,1,1,1,1,2,2,3,2,2,1,3,1,3,2,0,0,2,4,3,465,464,West
5,2,1,1,1,1,2,2,3,2,2,1,3,1,3,2,0,0,2,4,3,464,463,West
5,2,1,1,1,1,1,2,4,2,2,1,3,1,3,1,0,0,2,4,3,463,462,North
5,2,1,1,1,1,1,2,4,2,2,1,3,1,3,2,0,0,1,4,3,462,461,West
5,2,0,1,1,1,1,2,4,2,2,1,3,1,3,2,0,0,1,4,3,461,460,West
4,2,0,0,1,1,1,2,4,2,2,1,3,1,2,1,0,0,1,4,3,460,459,West
4,2,0,1,1,1,1,2,3,2,2,1,3,1,2,1,0,0,1,4,3,459,458,West
4,2,1,1,1,1,1,2,4,2,2,1,3,1,2,1,0,0,0,0,0,458,557,North
4,3,1,1,0,1,1,3,4,2,2,1,3,1,2,1,0,0,0,0,0,557,556,South
4,2,1,1,1,1,1,2,4,2,2,1,3,1,2,1,0,0,0,0,0,556,755,West
4,2,1,1,1,1,1,2,2,1,2,1,3,1,2,0,0,0,0,0,0,755,754,West
3,2,1,1,1,1,1,2,2,1,2,1,3,1,2,0,0,0,0,0,0,754,753,West
3,2,0,1,1,1,2,2,2,1,2,1,3,1,1,0,0,0,0,0,0,753,752,West
3,2,0,1,1,1,2,2,2,1,2,1,3,1,1,0,0,0,0,0,0,752,751,West
2,2,0,1,1,1,2,2,2,1,2,1,3,1,1,0,0,0,0,0,0,751,750,West
2,2,0,1,1,1,2,2,2,1,2,1,3,1,1,0,0,0,0,0,0,750,949,West
5,2,0,0,1,1,5,5,5,5,6,5,6,5,3,3,3,3,0,0,0,-3,-4,West
5,2,0,0,1,1,5,6,5,5,5,5,6,5,3,3,3,3,0,0,0,-4,-5,East
5,2,0,0,1,1,5,6,5,5,5,5,6,5,3,3,3,3,0,0,0,-5,-6,East
5,2,1,0,1,1,5,6,5,6,6,5,5,5,3,3,3,3,0,0,0,-6,-7,North
5,2,1,1,0,0,5,5,5,6,6,5,5,5,3,3,3,3,0,0,0,-7,-8,North
5,2,0,1,1,0,5,5,5,6,6,5,5,5,3,3,3,3,0,0,0,-8,-9,East
6,2,0,0,1,1,5,5,5,6,6,5,5,5,3,3,2,3,0,0,0,-9,-10,East
6,2,0,0,1,1,5,5,5,6,5,5,4,5,3,3,3,3,0,0,0,-10,-11,East
6,2,1,0,0,1,5,5,5,6,6,5,4,5,3,4,3,4,0,0,0,-11,-12,North
6,3,1,1,0,0,5,5,5,6,6,5,4,5,3,3,3,4,0,0,0,-12,-13,North
6,3,1,1,0,0,5,5,5,6,6,5,4,5,3,3,2,4,0,0,0,-13,-14,North
6,3,0,1,1,1,5,5,5,6,5,5,4,5,2,3,2,3,0,0,0,-14,-15,West
6,3,0,0,1,1,5,5,5,6,5,5,4,5,2,3,2,3,0,0,0,-15,-16,West
6,3,0,0,1,1,5,5,5,6,5,5,4,5,2,3,2,3,0,0,0,-16,-17,West
5,3,1,0,1,1,5,5,5,6,5,6,4,5,2,2,2,3,0,0,0,-17,-18,North
5,4,1,1,0,0,5,5,5,6,5,6,4,5,2,2,2,3,0,0,0,-18,-19,North
5,4,1,1,0,0,5,5,6,6,5,6,4,5,1,2,2,2,0,0,0,-19,-20,North
5,4,0,1,1,0,6,5,5,6,5,6,4,5,1,2,2,2,0,0,0,-20,-21,East
6,4,0,0,1,1,6,5,6,6,5,6,4,5,1,2,2,2,0,0,0,-21,-22,East
