@relation 'pacman-data-training-weka.filters.unsupervised.attribute.Remove-R1-6,23'

@attribute living_ghost1 {0,1}
@attribute living_ghost2 {0,1}
@attribute living_ghost3 {0,1}
@attribute living_ghost4 {0,1}
@attribute ghost1_positionX numeric
@attribute ghost1_positionY numeric
@attribute ghost2_positionX numeric
@attribute ghost2_positionY numeric
@attribute ghost3_positionX numeric
@attribute ghost3_positionY numeric
@attribute ghost4_positionX numeric
@attribute ghost4_positionY numeric
@attribute ghost1_distance numeric
@attribute ghost2_distance numeric
@attribute ghost3_distance numeric
@attribute ghost4_distance numeric
@attribute next_move {West,East,North,South,Stop}

@data
1,0,0,1,6,5,3,1,5,1,13,7,5,0,0,9,Stop
1,0,0,1,7,5,3,1,5,1,13,7,5,0,0,9,Stop
1,0,0,1,7,5,3,1,5,1,13,7,5,0,0,9,East
1,0,0,1,7,5,3,1,5,1,13,7,5,0,0,10,South
1,0,0,1,7,5,3,1,5,1,14,7,4,0,0,9,West
1,0,0,1,7,5,3,1,5,1,14,7,3,0,0,9,Stop
1,0,0,1,6,5,3,1,5,1,14,7,3,0,0,9,Stop
1,0,0,1,6,5,3,1,5,1,14,7,3,0,0,9,Stop
1,0,0,1,6,5,3,1,5,1,14,7,3,0,0,9,East
1,0,0,1,6,5,3,1,5,1,14,7,4,0,0,8,South
1,0,0,1,6,5,3,1,5,1,14,7,5,0,0,8,Stop
1,0,0,1,6,4,3,1,5,1,14,7,5,0,0,8,Stop
1,0,0,1,6,4,3,1,5,1,14,7,5,0,0,8,West
1,0,0,1,6,4,3,1,5,1,14,7,5,0,0,7,East
1,0,0,1,6,4,3,1,5,1,13,7,6,0,0,6,South
1,0,0,1,6,4,3,1,5,1,13,7,7,0,0,6,Stop
1,0,0,1,6,3,3,1,5,1,13,7,7,0,0,6,Stop
1,0,0,1,6,3,3,1,5,1,13,7,7,0,0,6,East
1,0,0,1,6,3,3,1,5,1,13,7,7,0,0,7,South
1,0,0,1,6,3,3,1,5,1,14,7,6,0,0,6,East
1,0,0,1,6,3,3,1,5,1,14,7,5,0,0,6,Stop
1,0,0,1,7,3,3,1,5,1,14,7,5,0,0,6,Stop
1,0,0,1,7,3,3,1,5,1,14,7,5,0,0,6,East
1,0,0,1,7,3,3,1,5,1,14,7,5,0,0,7,South
1,0,0,1,7,3,3,1,5,1,15,7,4,0,0,8,Stop
1,0,0,1,7,3,3,1,5,1,15,7,4,0,0,8,Stop
1,0,0,1,7,3,3,1,5,1,15,7,4,0,0,8,Stop
1,0,0,1,7,3,3,1,5,1,15,7,4,0,0,8,West
1,0,0,1,7,3,3,1,5,1,15,7,4,0,0,7,South
1,0,0,1,7,3,3,1,5,1,14,7,3,0,0,8,West
1,0,0,1,7,3,3,1,5,1,14,7,4,0,0,8,Stop
1,0,0,1,6,3,3,1,5,1,14,7,4,0,0,8,Stop
1,0,0,1,6,3,3,1,5,1,14,7,4,0,0,8,Stop
1,0,0,1,6,3,3,1,5,1,14,7,4,0,0,8,South
1,0,0,1,6,3,3,1,5,1,14,7,3,0,0,9,East
1,0,0,1,6,3,3,1,5,1,14,7,2,0,0,9,Stop
1,0,0,1,7,3,3,1,5,1,14,7,2,0,0,9,Stop
1,0,0,1,7,3,3,1,5,1,14,7,2,0,0,9,North
1,0,0,1,7,3,3,1,5,1,14,7,2,0,0,10,West
1,0,0,1,7,3,3,1,5,1,14,8,1,0,0,11,Stop
1,0,0,1,7,3,3,1,5,1,14,8,1,0,0,11,Stop
1,0,0,1,7,3,3,1,5,1,14,8,1,0,0,11,Stop
1,0,0,1,7,3,3,1,5,1,14,8,1,0,0,11,South
1,0,0,1,7,3,3,1,5,1,14,8,1,0,0,10,West
1,0,0,1,7,3,3,1,5,1,14,7,2,0,0,11,West
1,0,0,1,7,3,3,1,5,1,14,7,1,0,0,11,Stop
1,0,0,1,6,3,3,1,5,1,14,7,1,0,0,11,Stop
