@RELATION pacman-data-training

	@ATTRIBUTE pacman_positionX NUMERIC
	@ATTRIBUTE pacman_positionY NUMERIC
	@ATTRIBUTE legal_north {0,1}
	@ATTRIBUTE legal_south {0,1}
	@ATTRIBUTE legal_east {0,1}
	@ATTRIBUTE legal_west {0,1}
	@ATTRIBUTE living_ghost1 {0,1}
	@ATTRIBUTE living_ghost2 {0,1}
	@ATTRIBUTE living_ghost3 {0,1}
	@ATTRIBUTE living_ghost4 {0,1}
	@ATTRIBUTE ghost1_positionX NUMERIC
	@ATTRIBUTE ghost1_positionY NUMERIC
	@ATTRIBUTE ghost2_positionX NUMERIC
	@ATTRIBUTE ghost2_positionY NUMERIC
	@ATTRIBUTE ghost3_positionX NUMERIC
	@ATTRIBUTE ghost3_positionY NUMERIC
	@ATTRIBUTE ghost4_positionX NUMERIC
	@ATTRIBUTE ghost4_positionY NUMERIC
	@ATTRIBUTE ghost1_distance NUMERIC
	@ATTRIBUTE ghost2_distance NUMERIC
	@ATTRIBUTE ghost3_distance NUMERIC
	@ATTRIBUTE ghost4_distance NUMERIC
	@ATTRIBUTE score NUMERIC
	@ATTRIBUTE next_move {West,East,North,South,Stop}

@DATA
10,6,1,1,0,1,1,0,0,1,2,5,3,1,5,1,14,11,9,0,0,9,475,South
10,6,1,1,0,1,1,0,0,1,2,5,3,1,5,1,14,11,9,0,0,8,475,South
10,5,1,1,1,1,1,0,0,1,2,5,3,1,5,1,14,10,8,0,0,9,474,Stop
10,5,1,1,1,1,1,0,0,1,2,5,3,1,5,1,14,10,8,0,0,9,474,Stop
10,5,1,1,1,1,1,0,0,1,2,5,3,1,5,1,14,10,8,0,0,9,474,Stop
10,5,1,1,1,1,1,0,0,1,2,5,3,1,5,1,14,10,8,0,0,9,474,Stop
10,5,1,1,1,1,1,0,0,1,2,5,3,1,5,1,14,10,8,0,0,9,474,West
9,5,1,1,1,1,1,0,0,1,2,5,3,1,5,1,14,10,7,0,0,10,473,Stop
9,5,1,1,1,1,1,0,0,1,2,5,3,1,5,1,14,10,7,0,0,10,473,Stop
9,5,1,1,1,1,1,0,0,1,2,5,3,1,5,1,14,10,7,0,0,10,473,Stop
9,5,1,1,1,1,1,0,0,1,2,5,3,1,5,1,14,10,7,0,0,10,473,Stop
9,5,1,1,1,1,1,0,0,1,2,5,3,1,5,1,14,10,7,0,0,10,473,West
8,5,1,1,1,1,1,0,0,1,2,5,3,1,5,1,14,10,6,0,0,11,472,South
8,5,1,1,1,1,1,0,0,1,2,5,3,1,5,1,14,10,7,0,0,11,472,Stop
8,5,1,1,1,1,1,0,0,1,2,4,3,1,5,1,14,10,7,0,0,11,472,Stop
8,5,1,1,1,1,1,0,0,1,2,4,3,1,5,1,14,10,7,0,0,11,472,Stop
8,5,1,1,1,1,1,0,0,1,2,4,3,1,5,1,14,10,7,0,0,11,472,West
7,5,0,1,1,1,1,0,0,1,2,4,3,1,5,1,14,10,6,0,0,12,471,Stop
7,5,0,1,1,1,1,0,0,1,2,4,3,1,5,1,14,10,6,0,0,12,471,Stop
7,5,0,1,1,1,1,0,0,1,2,4,3,1,5,1,14,10,6,0,0,12,471,Stop
7,5,0,1,1,1,1,0,0,1,2,4,3,1,5,1,14,10,6,0,0,12,471,South
7,5,0,1,1,1,1,0,0,1,2,4,3,1,5,1,14,10,6,0,0,11,471,West
6,5,0,1,1,1,1,0,0,1,2,4,3,1,5,1,14,9,5,0,0,12,470,West
6,5,0,1,1,1,1,0,0,1,2,4,3,1,5,1,14,9,6,0,0,12,470,Stop
6,5,0,1,1,1,1,0,0,1,1,4,3,1,5,1,14,9,6,0,0,12,470,Stop
6,5,0,1,1,1,1,0,0,1,1,4,3,1,5,1,14,9,6,0,0,12,470,South
6,5,0,1,1,1,1,0,0,1,1,4,3,1,5,1,14,9,6,0,0,11,470,West
5,5,0,1,1,1,1,0,0,1,1,4,3,1,5,1,14,8,5,0,0,12,469,North
5,5,0,1,1,1,1,0,0,1,1,4,3,1,5,1,14,8,4,0,0,12,469,Stop
5,5,0,1,1,1,1,0,0,1,1,5,3,1,5,1,14,8,4,0,0,12,469,Stop
5,5,0,1,1,1,1,0,0,1,1,5,3,1,5,1,14,8,4,0,0,12,469,North
5,5,0,1,1,1,1,0,0,1,1,5,3,1,5,1,14,8,4,0,0,13,469,West
4,5,0,1,1,1,1,0,0,1,1,5,3,1,5,1,14,9,3,0,0,14,468,East
4,5,0,1,1,1,1,0,0,1,1,5,3,1,5,1,14,9,2,0,0,14,468,Stop
4,5,0,1,1,1,1,0,0,1,2,5,3,1,5,1,14,9,2,0,0,14,468,Stop
4,5,0,1,1,1,1,0,0,1,2,5,3,1,5,1,14,9,2,0,0,14,468,West
4,5,0,1,1,1,1,0,0,1,2,5,3,1,5,1,14,9,2,0,0,13,468,West
3,5,0,1,1,1,1,0,0,1,2,5,3,1,5,1,13,9,1,0,0,14,467,East
3,5,0,1,1,1,0,0,0,1,2,5,3,1,5,1,13,9,0,0,0,14,667,Stop
3,5,0,1,1,1,0,0,0,1,1,1,3,1,5,1,13,9,0,0,0,14,667,Stop
3,5,0,1,1,1,0,0,0,1,1,1,3,1,5,1,13,9,0,0,0,14,667,South
3,5,0,1,1,1,0,0,0,1,1,1,3,1,5,1,13,9,0,0,0,13,667,West
2,5,0,1,1,1,0,0,0,1,1,1,3,1,5,1,13,8,0,0,0,14,666,Stop
2,5,0,1,1,1,0,0,0,1,1,1,3,1,5,1,13,8,0,0,0,14,666,Stop
2,5,0,1,1,1,0,0,0,1,1,1,3,1,5,1,13,8,0,0,0,14,666,Stop
2,5,0,1,1,1,0,0,0,1,1,1,3,1,5,1,13,8,0,0,0,14,666,East
2,5,0,1,1,1,0,0,0,1,1,1,3,1,5,1,13,8,0,0,0,15,666,West
1,5,1,1,1,0,0,0,0,1,1,1,3,1,5,1,14,8,0,0,0,16,665,Stop
1,5,1,1,1,0,0,0,0,1,1,1,3,1,5,1,14,8,0,0,0,16,665,Stop
1,5,1,1,1,0,0,0,0,1,1,1,3,1,5,1,14,8,0,0,0,16,665,Stop
1,5,1,1,1,0,0,0,0,1,1,1,3,1,5,1,14,8,0,0,0,16,665,Stop
1,5,1,1,1,0,0,0,0,1,1,1,3,1,5,1,14,8,0,0,0,16,665,North
1,6,1,1,0,0,0,0,0,1,1,1,3,1,5,1,14,8,0,0,0,15,664,Stop
1,6,1,1,0,0,0,0,0,1,1,1,3,1,5,1,14,8,0,0,0,15,664,Stop
1,6,1,1,0,0,0,0,0,1,1,1,3,1,5,1,14,8,0,0,0,15,664,Stop
1,6,1,1,0,0,0,0,0,1,1,1,3,1,5,1,14,8,0,0,0,15,664,Stop
1,6,1,1,0,0,0,0,0,1,1,1,3,1,5,1,14,8,0,0,0,15,664,North
1,7,1,1,1,0,0,0,0,1,1,1,3,1,5,1,14,8,0,0,0,14,663,Stop
1,7,1,1,1,0,0,0,0,1,1,1,3,1,5,1,14,8,0,0,0,14,663,Stop
1,7,1,1,1,0,0,0,0,1,1,1,3,1,5,1,14,8,0,0,0,14,663,Stop
1,7,1,1,1,0,0,0,0,1,1,1,3,1,5,1,14,8,0,0,0,14,663,North
1,7,1,1,1,0,0,0,0,1,1,1,3,1,5,1,14,8,0,0,0,15,663,East
2,7,1,0,1,1,0,0,0,1,1,1,3,1,5,1,14,9,0,0,0,14,662,Stop
2,7,1,0,1,1,0,0,0,1,1,1,3,1,5,1,14,9,0,0,0,14,662,Stop
2,7,1,0,1,1,0,0,0,1,1,1,3,1,5,1,14,9,0,0,0,14,662,Stop
2,7,1,0,1,1,0,0,0,1,1,1,3,1,5,1,14,9,0,0,0,14,662,West
2,7,1,0,1,1,0,0,0,1,1,1,3,1,5,1,14,9,0,0,0,13,662,East
3,7,1,0,1,1,0,0,0,1,1,1,3,1,5,1,13,9,0,0,0,12,661,Stop
3,7,1,0,1,1,0,0,0,1,1,1,3,1,5,1,13,9,0,0,0,12,661,Stop
3,7,1,0,1,1,0,0,0,1,1,1,3,1,5,1,13,9,0,0,0,12,661,Stop
3,7,1,0,1,1,0,0,0,1,1,1,3,1,5,1,13,9,0,0,0,12,661,Stop
3,7,1,0,1,1,0,0,0,1,1,1,3,1,5,1,13,9,0,0,0,12,661,East
4,7,1,0,1,1,0,0,0,1,1,1,3,1,5,1,13,9,0,0,0,11,660,Stop
4,7,1,0,1,1,0,0,0,1,1,1,3,1,5,1,13,9,0,0,0,11,660,Stop
4,7,1,0,1,1,0,0,0,1,1,1,3,1,5,1,13,9,0,0,0,11,660,Stop
4,7,1,0,1,1,0,0,0,1,1,1,3,1,5,1,13,9,0,0,0,11,660,East
4,7,1,0,1,1,0,0,0,1,1,1,3,1,5,1,13,9,0,0,0,12,660,East
5,7,1,0,1,1,0,0,0,1,1,1,3,1,5,1,14,9,0,0,0,11,659,Stop
5,7,1,0,1,1,0,0,0,1,1,1,3,1,5,1,14,9,0,0,0,11,659,Stop
5,7,1,0,1,1,0,0,0,1,1,1,3,1,5,1,14,9,0,0,0,11,659,Stop
5,7,1,0,1,1,0,0,0,1,1,1,3,1,5,1,14,9,0,0,0,11,659,West
5,7,1,0,1,1,0,0,0,1,1,1,3,1,5,1,14,9,0,0,0,10,659,East
6,7,1,0,1,1,0,0,0,1,1,1,3,1,5,1,13,9,0,0,0,9,658,Stop
6,7,1,0,1,1,0,0,0,1,1,1,3,1,5,1,13,9,0,0,0,9,658,Stop
6,7,1,0,1,1,0,0,0,1,1,1,3,1,5,1,13,9,0,0,0,9,658,Stop
6,7,1,0,1,1,0,0,0,1,1,1,3,1,5,1,13,9,0,0,0,9,658,Stop
6,7,1,0,1,1,0,0,0,1,1,1,3,1,5,1,13,9,0,0,0,9,658,East
7,7,1,0,1,1,0,0,0,1,1,1,3,1,5,1,13,9,0,0,0,8,657,Stop
7,7,1,0,1,1,0,0,0,1,1,1,3,1,5,1,13,9,0,0,0,8,657,Stop
7,7,1,0,1,1,0,0,0,1,1,1,3,1,5,1,13,9,0,0,0,8,657,Stop
7,7,1,0,1,1,0,0,0,1,1,1,3,1,5,1,13,9,0,0,0,8,657,West
7,7,1,0,1,1,0,0,0,1,1,1,3,1,5,1,13,9,0,0,0,7,657,East
8,7,1,1,1,1,0,0,0,1,1,1,3,1,5,1,12,9,0,0,0,6,656,Stop
8,7,1,1,1,1,0,0,0,1,1,1,3,1,5,1,12,9,0,0,0,6,656,Stop
8,7,1,1,1,1,0,0,0,1,1,1,3,1,5,1,12,9,0,0,0,6,656,Stop
